品目名,読み仮名,分別区分,廃棄方法,注意事項,持込が必要な品目か（TRUE/FALSE）,充電池か（TRUE/FALSE）,携帯電話・タブレットPCか（TRUE/FALSE）,その他の電子機器か（TRUE/FALSE）
タオル・タオルケット,たおる・たおるけっと,可燃ごみ,,,0,0,0,0
高枝切りばさみ,たかえだきりばさみ,粗大ごみ,,,0,0,0,0
抱き枕,だきまくら,可燃ごみ,,,0,0,0,0
卓上コンロ,たくじょうこんろ,不燃ごみ,,,0,0,0,0
卓上時計,たくじょうとけい,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
宅配業者の配達専用封筒（コーティングのあるもの）,たくはいぎょうしゃのはいたつせんようふうとう（こーてぃんぐのあるもの）,可燃ごみ,,端をちぎった時にフィルム状のものが見えたら、コーティングがあるものです。コーティングがない普通紙なら【古紙（雑がみ）】として出せます。,0,0,0,0
宅配便などの複写伝票,たくはいびんなどのふくしゃでんぴょう,可燃ごみ,,,0,0,0,0
宅配便を利用する際に使われた紙箱（厚紙製）,たくはいびんをりようするさいにつかわれたかみばこ（あつがみせい）,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
宅配便を利用する際に使われた緩衝材,たくはいびんをりようするさいにつかわれたかんしょうざい,可燃ごみ,,,0,0,0,0
竹（太さ10cm以内、長さ50cm以内）,たけ（ふとさ10せんちいない、ながさ50せんちいない）,資源物,（木の枝・刈り草・葉）,・可燃ごみで出す場合は、ひもで束ねて、1回に出す量は片手で持てる量で3束程度排出可。・資源物（木の枝・刈草・葉）の収集日は、片手で持てる量でひもで束ねる。指定袋に入れなくても可。何束でも排出可。（ごみステーションからあふれる場合など多量になるときは、分けて排出してください。）・竹垣に使用したものは、木製品になるため、可燃ごみ。,0,0,0,0
竹（太さ10cm以内、長さ50cm以内）,たけ（ふとさ10せんちいない、ながさ50せんちいない）,可燃ごみ,,・可燃ごみで出す場合は、ひもで束ねて、1回に出す量は片手で持てる量で3束程度排出可。・資源物（木の枝・刈草・葉）の収集日は、片手で持てる量でひもで束ねる。指定袋に入れなくても可。何束でも排出可。（ごみステーションからあふれる場合など多量になるときは、分けて排出してください。）・竹垣に使用したものは、木製品になるため、可燃ごみ。,0,0,0,0
竹（太さ15cm以内、長さ100cm超～150cm以内）,たけ（ふとさ15せんちいない、ながさ100せんちちょう～150せんちいない）,粗大ごみ,・太さ20cm以内、長さ100cm以内であれば、資源物（木の枝・刈り草・葉）の収集日に排出可。・太さ15cm超又は長さ150cm超の場合は、千葉市廃棄物リサイクル事業協同組合（電話043-204-5805）へご相談ください。,,0,0,0,0
竹（太さ20cm以内、長さ100cm以内）,たけ（ふとさ20せんちいない、ながさ100せんちいない）,資源物,（木の枝・刈り草・葉）・ひもで片手で持てる重さまでに束ねる。指定袋に入れなくても可。何束でも排出可。（ごみステーションからあふれる場合など多量になるときは、分けて排出してください。）・太さや長さがこれを超える場合は、千葉市廃棄物リサイクル事業協同組合（電話043-204-5805）へご相談ください。,,0,0,0,0
竹串,たけぐし,可燃ごみ,,,0,0,0,0
畳,たたみ,粗大ごみ,,,0,0,0,0
脱衣かご（硬いプラスチック製など）,だついかご（かたいぷらすちっくせいなど）,粗大ごみ,,,0,0,0,0
脱衣かご（籐などの植物素材のもの、柔らかいプラスチック製など）,だついかご（とうなどのしょくぶつそざいのもの、やわらかいぷらすちっくせいなど）,可燃ごみ,,,0,0,0,0
卓球台,たっきゅうだい,粗大ごみ,,,0,0,0,0
脱酸素剤（菓子などに入っているもの）,だつさんそざい（かしなどにいっっているもの）,可燃ごみ,,,0,0,0,0
脱脂綿,だっしめん,可燃ごみ,,,0,0,0,0
脱臭剤,だっしゅうざい,可燃ごみ,,,0,0,0,0
脱臭剤容器（プラスチック製）,だっしゅうざいようき（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
タッパー（密封容器）・タッパーのフタ（プラスチック製）（手で曲がらないような硬いもの）,たっぱー（みっぷうようき）・たっぱーのふた（ぷらすちっくせい）（てでまがらないようなかたいもの）,市の拠点回収または不燃ごみ,ポリプロピレン製、ポリエチレン製、ポリスチレン製のものは、各区役所等に設置の回収ボックスへ。,,1,0,0,0
タッパー（密封容器）・タッパーのフタ（プラスチック製）（手で曲がるような軟らかいもの）,たっぱー（みっぷうようき）・たっぱーのふた（ぷらすちっくせい）（てでまがるようなやわらかいもの）,市の拠点回収または可燃ごみ,ポリプロピレン製、ポリエチレン製、ポリスチレン製のものは、各区役所等に設置の回収ボックスへ。,,1,0,0,0
楯・トロフィー,たて・とろふぃー,不燃ごみまたは粗大ごみ,,,0,0,0,0
建具（障子・網戸・扉など）,たてぐ（しょうじ・あみど・とびらなど）,粗大ごみ,,,0,0,0,0
棚,たな,粗大ごみ,,,0,0,0,0
タバコの外包装フィルム,たばこのがいほうよそふぃるむ,可燃ごみ,,,0,0,0,0
タバコの吸殻・灰,たばこのすいがら・はい,可燃ごみ,,,0,0,0,0
タバコの空き箱,たばこのあきはこ,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
タバコの中銀紙,たばこのちゅうぎんかみ,可燃ごみ,,,0,0,0,0
タブレット,たぶれっと,店舗回収協力店または小型家電,市役所・区役所・環境事業所・新浜リサイクルセンターなどの使用済小型家電回収ボックスへ／外した充電式電池は、市の回収拠点または回収協力店へ,,1,0,1,0
卵の殻,たまごのから,可燃ごみ,,,0,0,0,0
卵のパック,たまごのぱっく,可燃ごみ,,紙製のものでも素材として布が使用されているものがあるため「可燃ごみ」へ,0,0,0,0
たらい,たらい,粗大ごみ,,,0,0,0,0
樽,たる,可燃ごみまたは粗大ごみ,,,0,0,0,0
たれ（焼肉のたれなどの食用）の容器（ガラス製）,たれ（やきにくのたれなどのしょくよう）のようき（がらすせい）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,0,0,0,0
たれ（焼肉のたれなどの食用）の容器（プラスチック製・紙製）,たれ（やきにくのたれなどのしょくよう）のようき（ぷらすちっくせい・かみせい）,可燃ごみ,,,0,0,0,0
たわし（金属製）,たわし（きんぞくせい）,不燃ごみ,,,0,0,0,0
たわし,たわし,可燃ごみ,,,0,0,0,0
単行本,たんこうぼん,資源物,（古紙・布類）の【古紙（雑誌）】,,0,0,0,0
単車（オートバイ）,たんしゃ（おーとばい）,排出禁止物等,,,1,0,0,0
箪笥（タンス）,たんす（たんす）,粗大ごみ,,,0,0,0,0
タンスシート,たんすしーと,可燃ごみ,,,0,0,0,0
丹前（たんぜん）・どてら,たんぜん（たんぜん）・どてら,可燃ごみ,,,0,0,0,0
断熱材・グラスウール,だんねつざい・ぐらすうーる,排出禁止物等,,,1,0,0,0
段ボール,だんぼーる,資源物,（古紙・布類）の【古紙（段ボール）】1枚でも必ずたたんでからひもで束ねる,,0,0,0,0
チアパック（口栓付きパウチ容器）,ちあぱっく（くちせんつきぱうちようき）,可燃ごみ,,,0,0,0,0
チェーン（硬いプラスチック製）,ちぇーん（かたいぷらすちっくせい）,不燃ごみ,,,0,0,0,0
チェーン（ゴム製・ウレタン製など柔らかいもの）,ちぇーん（ごむせい・うれたんせいなどやわらかいもの）,可燃ごみ,,,0,0,0,0
チェーン（金属製）,ちぇーん（きんぞくせい）,有害ごみ,,,0,0,0,0
チェーンソー,ちぇーんそー,粗大ごみ,,バッテリーは除く,0,0,0,0
チェスト,ちぇすと,粗大ごみ,,,0,0,0,0
地球儀,ちきゅうぎ,不燃ごみまたは粗大ごみ,,,0,0,0,0
竹刀・木刀,ちくとう・ぼくとう,粗大ごみ,,,0,0,0,0
チャイルドシート,ちゃいるどしーと,粗大ごみ,,,0,0,0,0
茶がら,ちゃがら,可燃ごみ,,,0,0,0,0
茶こし（金属製・プラスチック製）,ちゃこし（きんぞくせい・ぷらすちっくせい）,不燃ごみ,,,0,0,0,0
茶こし（シリコン製など柔らかいもの）,ちゃこし（しりこんせいなどやわらかいもの）,可燃ごみ,,,0,0,0,0
茶だんす,ちゃだんす,粗大ごみ,,,0,0,0,0
着火剤,ちゃっかざい,排出禁止物等,,,1,0,0,0
茶筒（金属製）,ちゃづつ（きんぞくせい）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,,0,0,0,0
茶筒（プラスチック製）,ちゃづつ（ぷらすちっくせい）,不燃ごみ,,,0,0,0,0
茶筒の外箱（厚紙製）,ちゃづつのそとばこ（あつがみせい）,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
茶筒の外箱（段ボール製）,ちゃづつのそとばこ（だんぼーるせい）,資源物,（古紙・布類）の【古紙（段ボール）】,表面に色が付いていても、断面を確認して茶色く波状の紙が挟まったものは段ボールです。,0,0,0,0
茶葉の缶（お茶、茶葉が入って販売されていたもの）,ちゃばのかん（おちゃ、ちゃばがいっってはんばいされていたもの）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,,0,0,0,0
茶葉の袋（茶葉が入って販売されていたもの）,ちゃばのふくろ（ちゃばがいっってはんばいされていたもの）,可燃ごみ,,,0,0,0,0
ちゃぶ台,ちゃぶだい,粗大ごみ,https://www.city.chiba.jp/kankyo/junkan/shushugyomu/hinmoku-kakudai.html／https://www.city.chiba.jp/kankyo/junkan/shushugyomu/hinmoku-kakudai.html,,0,0,0,0
茶碗,ちゃわん,不燃ごみ,,,0,0,0,0
中華鍋,ちゅうかなべ,不燃ごみまたは粗大ごみ,,,0,0,0,0
注射器（在宅医療用）,ちゅうしゃき（ざいたくいりょうよう）,可燃ごみ,注射針は必ず外してください。外した注射針の持込先のお問い合わせは（社）千葉市薬剤師会043-242-8193へ,,1,0,0,0
注射針（在宅医療用）,ちゅうしゃばり（ざいたくいりょうよう）,医療機関または回収薬局へ,持込先のお問い合わせは（社）千葉市薬剤師会043-242-8193へ,,1,0,0,0
チューナー,ちゅーなー,小型家電、不燃ごみまたは粗大ごみ,各区役所などの使用済小型家電回収ボックスへ。回収ボックス・不燃ごみ袋に入らないものは粗大ごみ,,1,0,0,1
チューナー（車載用）,ちゅーなー（しゃさいよう）,小型家電または不燃ごみ,各区役所などの使用済の小型家電回収ボックスへ,,1,0,0,1
チューブ（自転車用）,ちゅーぶ（じてんしゃよう）,可燃ごみ,,,0,0,0,0
チューブ容器（食料品や日用品等）,ちゅーぶようき（しょくりょうひんやにちようひんなど）,可燃ごみ,,,0,0,0,0
彫刻刀,ちょうこくかたな,不燃ごみ,,,0,0,0,0
彫刻品（木製）（厚さ10cm以内）,ちょうこくひん（もくせい）（あつさ10せんちいない）,可燃ごみまたは粗大ごみ,,,0,0,0,0
彫刻品（木製）（厚さ10cm超～15cm以内）,ちょうこくひん（もくせい）（あつさ10せんちちょう～15せんちいない）,不燃ごみまたは粗大ごみ,,,0,0,0,0
ちょうつがい（蝶番）,ちょうつがい（ちょうつがい）,不燃ごみ,,,0,0,0,0
調味料の缶,ちょうみりょうのかん,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【缶】,水ですすぐ,0,0,0,0
調味料のびん（ガラス製）,ちょうみりょうのびん（がらすせい）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,0,0,0,0
調味料の容器（プラスチック製）,ちょうみりょうのようき（ぷらすちっくせい）,可燃ごみ,,,0,0,0,0
調理器具（金属製・硬いプラスチック製）,ちょうりきぐ（きんぞくせい・かたいぷらすちっくせい）,不燃ごみ,,,0,0,0,0
調理器具（木製・シリコン製）,ちょうりきぐ（もくせい・しりこんせい）,可燃ごみ,,,0,0,0,0
調理台,ちょうりだい,粗大ごみ,,,0,0,0,0
チョーク（白墨）,ちょーく（はくぼく）,可燃ごみ,,,0,0,0,0
チラシ,ちらし,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
ちりとり（プラスチック製・金属製）,ちりとり（ぷらすちっくせい・きんぞくせい）,市の拠点回収、不燃ごみまたは粗大ごみ,小型のもので不燃ごみの指定袋に入れば不燃ごみ。ポリプロピレン製、ポリエチレン製、ポリスチレン製のものは、各区役所等に設置の回収ボックスへ。,,1,0,0,0
ちり紙,ちりかみ,可燃ごみ,,,0,0,0,0
ついたて,ついたて,粗大ごみ,,,0,0,0,0
つえ,つえ,粗大ごみ,,,0,0,0,0
使い捨てカイロ,つかいすてかいろ,可燃ごみ,,,0,0,0,0
使い捨てかみそり,つかいすてかみそり,不燃ごみ,,,0,0,0,0
使い捨てカメラ,つかいすてかめら,不燃ごみ,,,0,0,0,0
使い捨てライター,つかいすてらいたー,有害ごみ,,,0,0,0,0
机,つくえ,可燃ごみまたは粗大ごみ,,,0,0,0,0
付け毛（ウィッグ）,つけげ（うぃっぐ）,可燃ごみ,,,0,0,0,0
漬物石,つけものいし,排出禁止物等,,,1,0,0,0
漬物樽,つけものだる,不燃ごみまたは粗大ごみ,,,0,0,0,0
土,つち,排出禁止物等,,,1,0,0,0
つっぱり棒・つっぱり棚（プラスチック製）,つっぱりぼう・つっぱりたな（ぷらすちっくせい）,不燃ごみまたは粗大ごみ,,,0,0,0,0
葛篭（つづら）,つづら（つづら）,可燃ごみ,,,0,0,0,0
つなぎ（作業着）,つなぎ（さぎょうぎ）,可燃ごみ,,,0,0,0,0
壺（つぼ）,つぼ（つぼ）,不燃ごみまたは粗大ごみ,,,0,0,0,0
積み木（玩具）（プラスチック製・金属製）,つみき（がんぐ）（ぷらすちっくせい・きんぞくせい）,不燃ごみ,,,0,0,0,0
積み木（玩具）（木製）,つみき（がんぐ）（もくせい）,可燃ごみ,,,0,0,0,0
詰め替え製品の袋（調味料、洗剤などの詰め替え商品の入っていた袋）（紙製）,つめかえせいひんのふくろ（ちょうみりょう、せんざいなどのつめかえしょうひんのいっっていたふくろ）（かみせい）,可燃ごみ,,,0,0,0,0
詰め替え製品の容器など（プラ製）,つめかえせいひんのようきなど（ぷらせい）,可燃ごみ,,,0,0,0,0
爪切り,つめきり,不燃ごみ,,,0,0,0,0
つゆ（油分のあるもの）の容器（ペットボトル製）,つゆ（あぶらぶんのあるもの）のようき（ぺっとぼとるせい）,可燃ごみ,,,0,0,0,0
つゆ（麺つゆなどの食用・油分のないもの）の容器（ペットボトル製※）,つゆ（めんつゆなどのしょくよう・ゆぶんのないもの）のようき（ぺっとぼとるせい※）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【ﾍﾟｯﾄﾎﾞﾄﾙ】,水ですすぐ　　※PETマークのあるもの,0,0,0,0
つゆ（麺つゆなどの食用）の容器（ガラス製）,つゆ（めんつゆなどのしょくよう）のようき（がらすせい）,資源物,（びん・缶・ﾍﾟｯﾄﾎﾞﾄﾙ）の【びん】,水ですすぐ,0,0,0,0
つゆ（麺つゆなどの食用）の容器（紙製）,つゆ（めんつゆなどのしょくよう）のようき（かみせい）,可燃ごみ,,,0,0,0,0
釣糸,つりいと,可燃ごみ,,,0,0,0,0
釣竿（竹製）,つりざお（たけせい）,可燃ごみまたは粗大ごみ,,,0,0,0,0
釣竿（竹製以外）,つりざお（たけせいいがい）,不燃ごみまたは粗大ごみ,,,0,0,0,0
釣針,つりばり,不燃ごみ,紙で包み｢危険｣と書くか、専用のケースに入れて不燃ごみ指定袋へ,,0,0,0,0
釣り用鉛製品,つりようなまりせいひん,不燃ごみ,,,0,0,0,0
つるはし,つるはし,粗大ごみ,,,0,0,0,0
DVD（ケースを含む）,でぃーぶいでぃー（けーすをふくむ）,不燃ごみ,,,0,0,0,0
DVDの包装フィルム,でぃーぶいでぃーのほうそうふぃるむ,可燃ごみ,,,0,0,0,0
DVDプレーヤー・ DVDレコーダー,でぃーぶいでぃーぷれーやー・ でぃーぶいでぃーれこーだー,小型家電、不燃ごみまたは粗大ごみ,各区役所等に設置の回収ボックスへ。回収ボックス・不燃ごみ袋に入らないものは粗大ごみ,,1,0,0,1
Tシャツ,てぃーしゃつ,資源物,（古紙・布類）の【布類】,,0,0,0,0
低周波治療器,ていしゅうはちりょうき,不燃ごみまたは粗大ごみ,,,0,0,0,0
ディスプレイ（パソコン用）,でぃすぷれい（ぱそこんよう）,市で収集しないもの,家庭用パソコンリサイクルについて,,1,0,0,0
ティッシュペーパー,てぃっしゅぺーぱー,可燃ごみ,,,0,0,0,0
ティッシュボックス（紙箱）,てぃっしゅぼっくす（かみばこ）,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
ティッシュボックス（紙箱）取出口のフィルム,てぃっしゅぼっくす（かみばこ）とりだしくちのふぃるむ,可燃ごみ,,,0,0,0,0
デイパック,でいぱっく,可燃ごみ,,,0,0,0,0
テーブル,てーぶる,粗大ごみ,,,0,0,0,0
テーブルクロス,てーぶるくろす,可燃ごみ,,,0,0,0,0
テーブルタップ（電気コード）,てーぶるたっぷ（でんきこーど）,不燃ごみ,,,0,0,0,0
テープレコーダー,てーぷれこーだー,小型家電、不燃ごみまたは粗大ごみ,各区役所等に設置の回収ボックスへ。回収ボックス・不燃ごみ袋に入らないものは粗大ごみ,,1,0,0,1
テープ類,てーぷるい,可燃ごみ,,,0,0,0,0
手おけ（木製）,ておけ（もくせい）,可燃ごみ,,,0,0,0,0
手おけ（木製以外）,ておけ（もくせいいがい）,市の拠点回収または不燃ごみ,ポリプロピレン製、ポリエチレン製、ポリスチレン製のものは、各区役所等に設置の回収ボックスへ。,,1,0,0,0
手押し車,ておしぐるま,粗大ごみ,,,0,0,0,0
手鏡,てかがみ,不燃ごみ,,,0,0,0,0
手紙,てがみ,資源物,（古紙・布類）の【古紙（雑がみ）】,,0,0,0,0
テグス（釣り糸）,てぐす（つりいと）,可燃ごみ,,,0,0,0,0
手提げ金庫,てさげきんこ,不燃ごみ,,,0,0,0,0
手提げ袋（紙製）（コーティングのないもの）,てさげげぶくろ（かみせい）（こーてぃんぐのないもの）,資源物,（古紙・布類）の【古紙（雑がみ）】,持ち手部分が紙以外の素材は取り除く。端をちぎった時にフィルム状のものが見えたら、コーティングがあるものです。コーティングのあるものは「可燃ごみ」へ。,0,0,0,0
デジタルカメラ,でじたるかめら,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ／外した充電式電池は、市の回収拠点または回収協力店へ,,1,0,0,1
デスクトップパソコン本体,ですくとっぷぱそこんほんたい,市で収集しないもの,家庭用パソコンリサイクルについて,,1,0,0,0
手帳,てちょう,資源物,（古紙・布類）の【古紙（雑誌）】,個人情報のあるものは「可燃ごみ」へ,0,0,0,0
手帳のカバー,てちょうのかばー,可燃ごみ,,,0,0,0,0
鉄アレイ・ダンベル,てつあれい・だんべる,有害ごみまたは粗大ごみ,,20ℓ以下の透明な袋に入れば有害ごみ,0,0,0,0
デッキブラシ,でっきぶらし,粗大ごみ,,プラスチック製の小型のもので不燃ごみの指定袋からはみ出さなければ「不燃ごみ」、同様に、柄が木製で指定袋に入れば「可燃ごみ」,0,0,0,0
テニスボール,てにすぼーる,可燃ごみ,,,0,0,0,0
テニスラケット（木製）,てにすらけっと（もくせい）,可燃ごみ,,,0,0,0,0
テニスラケット（木製以外）,てにすらけっと（もくせいいがい）,不燃ごみまたは粗大ごみ,,小型のもので不燃ごみの指定袋に入れば不燃ごみ,0,0,0,0
テニスラケットのケース,てにすらけっとのけーす,可燃ごみ,,,0,0,0,0
手ぬぐい,てぬぐい,可燃ごみ,,,0,0,0,0
手袋（革製・ゴム製・布製）,てぶくろ（かわせい・ごむせい・ぬのせい）,可燃ごみ,,,0,0,0,0
テレビ（車載用）,てれび（しゃさいよう）,小型家電または不燃ごみ,各区役所等に設置の回収ボックスへ。,,1,0,0,1
テレビ（ブラウン管・液晶・プラズマ式・有機EL）,てれび（ぶらうんかん・えきしょう・ぷらずましき・ゆうきいーえる）,家電リサイクル対象,,,1,0,0,0
テレビ（プロジェクション式）,てれび（ぷろじぇくしょんしき）,不燃ごみまたは粗大ごみ,,小型のもので不燃ごみの指定袋に入れば不燃ごみ,0,0,0,0
テレビアンテナ,てれびあんてな,不燃ごみまたは粗大ごみ,,,0,0,0,0
テレビゲーム,てれびげーむ,不燃ごみ,,,0,0,0,0
テレビゲームのソフト,てれびげーむのそふと,不燃ごみ,http://www.city.chiba.jp/kankyo/junkan/shushugyomu/syusyushinai.html／http://www.city.chiba.jp/kankyo/junkan/shushugyomu/syusyushinai.html,,1,0,0,0
テレビ台,てれびだい,粗大ごみ,,,0,0,0,0
テレホンカード,てれほんかーど,可燃ごみ,,,0,0,0,0
電化製品の空き箱（段ボール）,でんかせいひんのあきはこ（だんぼーる）,資源物,（古紙・布類）の【古紙（段ボール）】,,0,0,0,0
電化製品の緩衝材（発泡スチロール）,でんかせいひんのかんしょうざい（はっぽうすちろーる）,可燃ごみ,,,0,0,0,0
電気あんか,でんきあんか,不燃ごみ,,,0,0,0,0
電気鉛筆削り,でんきえんぴつけずり,不燃ごみ,,,0,0,0,0
電気カーペット,でんきかーぺっと,可燃ごみまたは粗大ごみ,電源プラグなど硬いプラスチック部分は取り外して不燃ごみへ。（取り外せなければそのまま「可燃ごみ」か「粗大ごみ」へ）,,0,0,0,0
電気釜（炊飯器）（一升炊き以下）,でんきがま（すいはんき）（いっしょうだきいか）,不燃ごみ,不燃ごみ指定袋（20ℓ）をそれぞれひとつの品目に対して1枚ずつ縛りつけるか、テープなどで貼りつけて排出してください。,,0,0,0,0
電気釜（炊飯器）（一升炊き超）,でんきがま（すいはんき）（いっしょうだきこ）,粗大ごみ,,,0,0,0,0
電気カミソリ・電気ひげそり（充電電池式）,でんきかみそり・でんきひげそり（じゅうでんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（外した充電式電池は、市の回収拠点または回収協力店へ）／外した充電式電池は、市の回収拠点または回収協力店へ,,1,0,0,1
電気カミソリ・電気ひげそり（乾電池式）,でんきかみそり・でんきひげそり（かんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ(電池は外す),,1,0,0,1
電気器具（小型のもの）,でんききぐ（こがたのもの）,不燃ごみ,,,0,0,0,0
電気コード,でんきこーど,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ,,1,0,0,1
電気こたつ,でんきこたつ,粗大ごみ,,,0,0,0,0
電気コンロ,でんきこんろ,不燃ごみ,,,0,0,0,0
電気スタンド,でんきすたんど,不燃ごみまたは粗大ごみ,,小型のもので不燃ごみの指定袋に入れば「不燃ごみ」,0,0,0,0
電気製品等の説明書,でんきせいひんとうのせつめいしょ,資源物,（古紙・布類）の【古紙（雑誌）】,,0,0,0,0
電気掃除機,でんきそうじき,不燃ごみまたは粗大ごみ,,小型のもので不燃ごみの指定袋に入れば「不燃ごみ」,0,0,0,0
電気バリカン（充電電池式）,でんきばりかん（じゅうでんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ／外した充電式電池は、市の回収拠点または回収協力店へ／http://www.city.chiba.jp/kankyo/junkan/shushugyomu/syusyushinai.html,,1,0,0,1
電気バリカン（乾電池式）,でんきばりかん（かんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
電気ポット,でんきぽっと,不燃ごみ,,,0,0,0,0
電気毛布,でんきもうふ,可燃ごみまたは粗大ごみ,電源プラグなど硬いプラスチック部分は取り外して不燃ごみへ。（取り外せなければそのまま「可燃ごみ」か「粗大ごみ」へ）,,0,0,0,0
電球（白熱灯・LED電球）,でんきゅう（はくねつとう・えるいーでぃーでんきゅう）,不燃ごみ,,割れたものは紙で包み「キケン」と書いて不燃ごみ指定袋へ,0,0,0,0
電子ゲーム機（携帯ゲーム機）（充電電池式）,でんしげーむき（けいたいげーむき）（じゅうでんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ／外した充電式電池は、市の回収拠点または回収協力店へ,,1,0,0,1
電子ゲーム機（携帯ゲーム機）（乾電池式）,でんしげーむき（けいたいげーむき）（かんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
電子辞書,でんしじしょ,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ／外した充電式電池は、市の回収拠点または回収協力店へ,,1,0,0,1
電子書籍端末（電子ブックリーダー）,でんししょせきたんまつ（でんしぶっくりーだー）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ／外した充電式電池は、市の回収拠点または回収協力店へ,,1,0,0,1
電子体温計,でんしたいおんけい,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
電子タバコ,でんしたばこ,排出禁止物等,購入店、メーカーなどに相談（バッテリーを除去できれば不燃ごみとして排出可）,,1,0,0,0
電磁調理器（IH）,でんじちょうりき（あいえいち）,不燃ごみまたは粗大ごみ,,,0,0,0,0
電子手帳,でんしてちょう,不燃ごみ,,電池は外す,0,0,0,0
電子ピアノ・電子オルガン,でんしぴあの・でんしおるがん,粗大ごみ,サイドフレーム・ペダル鍵盤などがないもの又は外してあるもの、長さが1.5m以下のものであること。長さが1.5mを超えるものは、購入店、メーカーなどに相談（又は千葉市が許可した下記処理業者）,,0,0,0,0
電子付属品（ACアダプター・コード類）,でんしふぞくひん（えーしーあだぷたー・こーどるい）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ,,1,0,0,1
点字本,てんじぼん,可燃ごみ,,,0,0,0,0
電子レンジ,でんしれんじ,粗大ごみ,,,0,0,0,0
電子レンジ台,でんしれんじだい,粗大ごみ,,,0,0,0,0
天体望遠鏡,てんたいぼうえんきょう,不燃ごみまたは粗大ごみ,,,0,0,0,0
電卓,でんたく,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
電池（アルカリ乾電池、マンガン乾電池）,でんち（あるかりかんでんち、まんがんかんでんち）,有害ごみ,,,0,0,0,0
電池（携帯電話・PHSの充電式電池）,でんち（けいたいでんわ・ぴーえいちえすのじゅうでんしきでんち）,店頭回収協力店へ,モバイル・リサイクルネットワーク（回収協力店が検索できます）,,1,1,0,0
電池（小型充電式）,でんち（こがたじゅうでんしき）,市の拠点回収または店舗回収協力店,一般社団法人JBRC（回収協力店が検索できます）／市内の環境事業所、新浜リサイクルセンターに持ち込む。／https://www.city.chiba.jp/kankyo/junkan/shushugyomu/hinmoku-kakudai.html,,1,1,0,0
電池（ボタン型）,でんち（ぼたんかた）,店頭回収協力店へ,（社）電池工業会　ボタン電池回収推進センター（回収協力店が検索できます）,,1,1,0,0
テント,てんと,可燃ごみまたは粗大ごみ,,,0,0,0,0
電動カート,でんどうかーと,粗大ごみ,,バッテリーは除く,0,0,0,0
電動車いす,でんどうくるまいす,粗大ごみ,,バッテリーは除く,0,0,0,0
電動工具,でんどうこうぐ,不燃ごみまたは粗大ごみ,,,0,0,0,0
電動自転車,でんどうじてんしゃ,粗大ごみ,,バッテリーは除く,0,0,0,0
電動歯ブラシ（充電電池式）,でんどうはぶらし（じゅうでんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ／外した充電式電池は、市の回収拠点または回収協力店へ,,1,0,0,1
電動歯ブラシ（乾電池式）,でんどうはぶらし（かんでんちしき）,小型家電または不燃ごみ,各区役所などの使用済小型家電回収ボックスへ（電池は外す）,,1,0,0,1
電動ベッド,でんどうべっど,粗大ごみ,https://www.city.chiba.jp/kankyo/junkan/shushugyomu/hinmoku-kakudai.html,バッテリーは除く,0,0,0,0
てんぷらガード,てんぷらがーど,不燃ごみまたは粗大ごみ,,,0,0,0,0
てんぷら油,てんぷらあぶら,回収場所へ,回収場所はこちらでご確認ください。,少量ずつボロ布などに含ませれば「可燃ごみ」で可,1,0,0,0
